"","x"
"fin_0355-2047_1905-02-09_33-00001_751709.txt.lemmatized",12
"fin_0355-2047_1905-02-09_33-00002_751709.txt.lemmatized",18
"fin_0355-2047_1905-02-09_33-00003_751709.txt.lemmatized",5
"fin_0355-2047_1905-02-09_33-00004_751709.txt.lemmatized",11
"fin_0355-2047_1905-02-09_33-00005_751709.txt.lemmatized",9
"fin_0355-2047_1905-02-09_33-00006_751709.txt.lemmatized",9
"fin_0355-2047_1905-02-09_33-00007_751709.txt.lemmatized",13
"fin_0355-2047_1905-02-09_33-00008_751709.txt.lemmatized",15
"fin_0355-2047_1905-02-10_34-00001_751710.txt.lemmatized",2
"fin_0355-2047_1905-02-10_34-00002_751710.txt.lemmatized",18
"fin_0355-2047_1905-02-10_34-00003_751710.txt.lemmatized",20
"fin_0355-2047_1905-02-10_34-00004_751710.txt.lemmatized",5
"fin_0355-2047_1905-02-10_34-00005_751710.txt.lemmatized",13
"fin_0355-2047_1905-02-10_34-00006_751710.txt.lemmatized",9
"fin_0355-2047_1905-02-10_34-00007_751710.txt.lemmatized",13
"fin_0355-2047_1905-02-10_34-00008_751710.txt.lemmatized",15
"fin_0355-2047_1905-02-11_35-00001_751711.txt.lemmatized",12
"fin_0355-2047_1905-02-11_35-00002_751711.txt.lemmatized",18
"fin_0355-2047_1905-02-11_35-00003_751711.txt.lemmatized",13
"fin_0355-2047_1905-02-11_35-00004_751711.txt.lemmatized",13
"fin_0355-2047_1905-02-11_35-00005_751711.txt.lemmatized",13
"fin_0355-2047_1905-02-11_35-00006_751711.txt.lemmatized",4
"fin_0355-2047_1905-02-11_35-00007_751711.txt.lemmatized",8
"fin_0355-2047_1905-02-11_35-00008_751711.txt.lemmatized",15
"fin_0355-2047_1905-02-12_36-00001_751712.txt.lemmatized",12
"fin_0355-2047_1905-02-12_36-00002_751712.txt.lemmatized",2
"fin_0355-2047_1905-02-12_36-00003_751712.txt.lemmatized",13
"fin_0355-2047_1905-02-12_36-00004_751712.txt.lemmatized",13
"fin_0355-2047_1905-02-12_36-00005_751712.txt.lemmatized",13
"fin_0355-2047_1905-02-12_36-00006_751712.txt.lemmatized",4
"fin_0355-2047_1905-02-12_36-00007_751712.txt.lemmatized",8
"fin_0355-2047_1905-02-12_36-00008_751712.txt.lemmatized",3
"fin_0355-2047_1905-02-14_37-00002_751713.txt.lemmatized",13
"fin_0355-2047_1905-02-14_37-00003_751713.txt.lemmatized",13
"fin_0355-2047_1905-02-14_37-00004_751713.txt.lemmatized",11
"fin_0355-2047_1905-02-14_37-00006_751713.txt.lemmatized",16
"fin_0355-2047_1905-02-14_37-00007_751713.txt.lemmatized",11
"fin_0355-2047_1905-02-14_37-00008_751713.txt.lemmatized",15
"fin_0355-2047_1905-02-15_38-00001_751714.txt.lemmatized",12
"fin_0355-2047_1905-02-15_38-00002_751714.txt.lemmatized",18
"fin_0355-2047_1905-02-15_38-00003_751714.txt.lemmatized",10
"fin_0355-2047_1905-02-15_38-00004_751714.txt.lemmatized",13
"fin_0355-2047_1905-02-15_38-00005_751714.txt.lemmatized",4
"fin_0355-2047_1905-02-15_38-00006_751714.txt.lemmatized",3
"fin_0355-2047_1905-02-16_39-00001_751715.txt.lemmatized",12
"fin_0355-2047_1905-02-16_39-00002_751715.txt.lemmatized",18
"fin_0355-2047_1905-02-16_39-00003_751715.txt.lemmatized",20
"fin_0355-2047_1905-02-16_39-00004_751715.txt.lemmatized",13
"fin_0355-2047_1905-02-16_39-00005_751715.txt.lemmatized",11
"fin_0355-2047_1905-02-16_39-00006_751715.txt.lemmatized",9
"fin_0355-2047_1905-02-16_39-00007_751715.txt.lemmatized",16
"fin_0355-2047_1905-02-16_39-00008_751715.txt.lemmatized",15
"fin_0355-2047_1905-02-17_40-00001_751716.txt.lemmatized",12
"fin_0355-2047_1905-02-17_40-00002_751716.txt.lemmatized",18
"fin_0355-2047_1905-02-17_40-00004_751716.txt.lemmatized",13
"fin_0355-2047_1905-02-17_40-00005_751716.txt.lemmatized",4
"fin_0355-2047_1905-02-17_40-00006_751716.txt.lemmatized",13
"fin_0355-2047_1905-02-17_40-00007_751716.txt.lemmatized",16
"fin_0355-2047_1905-02-17_40-00008_751716.txt.lemmatized",15
"fin_0355-2047_1905-02-18_41-00001_751717.txt.lemmatized",12
"fin_0355-2047_1905-02-18_41-00002_751717.txt.lemmatized",18
"fin_0355-2047_1905-02-18_41-00003_751717.txt.lemmatized",20
"fin_0355-2047_1905-02-18_41-00004_751717.txt.lemmatized",10
"fin_0355-2047_1905-02-18_41-00005_751717.txt.lemmatized",11
"fin_0355-2047_1905-02-18_41-00006_751717.txt.lemmatized",4
"fin_0355-2047_1905-02-18_41-00007_751717.txt.lemmatized",16
"fin_0355-2047_1905-02-18_41-00008_751717.txt.lemmatized",15
"fin_0355-2047_1905-02-19_42-00001_751718.txt.lemmatized",12
"fin_0355-2047_1905-02-19_42-00002_751718.txt.lemmatized",2
"fin_0355-2047_1905-02-19_42-00003_751718.txt.lemmatized",13
"fin_0355-2047_1905-02-19_42-00004_751718.txt.lemmatized",13
"fin_0355-2047_1905-02-19_42-00005_751718.txt.lemmatized",13
"fin_0355-2047_1905-02-19_42-00006_751718.txt.lemmatized",4
"fin_0355-2047_1905-02-19_42-00007_751718.txt.lemmatized",8
"fin_0355-2047_1905-02-19_42-00008_751718.txt.lemmatized",3
"fin_0355-2047_1905-02-21_43-00001_751719.txt.lemmatized",12
"fin_0355-2047_1905-02-21_43-00002_751719.txt.lemmatized",18
"fin_0355-2047_1905-02-21_43-00003_751719.txt.lemmatized",5
"fin_0355-2047_1905-02-21_43-00004_751719.txt.lemmatized",13
"fin_0355-2047_1905-02-21_43-00005_751719.txt.lemmatized",19
"fin_0355-2047_1905-02-21_43-00006_751719.txt.lemmatized",4
"fin_0355-2047_1905-02-21_43-00007_751719.txt.lemmatized",16
"fin_0355-2047_1905-02-21_43-00008_751719.txt.lemmatized",15
